,tconst,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
32090,tt0032671,Kitty Foyle,Kitty Foyle,0,1940,1940,108,"Drama,Romance",6.9,3855.0
32095,tt0032676,Knute Rockne All American,Knute Rockne All American,0,1940,1940,98,"Biography,Drama,Family",6.7,2000.0
32120,tt0032701,The Letter,The Letter,0,1940,1940,95,"Crime,Drama,Film-Noir",7.6,13693.0
32145,tt0032728,The Long Voyage Home,The Long Voyage Home,0,1940,1940,105,"Drama,War",6.9,4596.0
32169,tt0032753,The Man with Nine Lives,The Man with Nine Lives,0,1940,1940,74,"Horror,Mystery,Sci-Fi",6.5,1004.0
32178,tt0032762,The Mark of Zorro,The Mark of Zorro,0,1940,1940,94,"Action,Adventure,Family",7.5,10468.0
32227,tt0032811,The Mortal Storm,The Mortal Storm,0,1940,1940,100,Drama,7.7,5662.0
32233,tt0032818,The Mummy's Hand,The Mummy's Hand,0,1940,1940,67,"Adventure,Fantasy,Horror",6.0,4392.0
32234,tt0032819,Murder Over New York,Murder Over New York,0,1940,1940,65,Mystery,6.9,1306.0
32242,tt0032828,My Little Chickadee,My Little Chickadee,0,1940,1940,83,"Comedy,Western",6.8,2946.0
32256,tt0032842,Night Train to Munich,Night Train to Munich,0,1940,1940,95,"Drama,Thriller,War",7.2,5268.0
32260,tt0032846,No Time for Comedy,No Time for Comedy,0,1940,1940,93,"Comedy,Drama,Romance",6.2,1148.0
32264,tt0032850,North West Mounted Police,North West Mounted Police,0,1940,1940,126,"Drama,Romance,Western",6.4,1740.0
32265,tt0032851,Northwest Passage,'Northwest Passage' (Book I -- Rogers' Rangers),0,1940,1940,126,"Adventure,Drama,History",7.0,3696.0
32285,tt0032871,One Million B.C.,One Million B.C.,0,1940,1940,80,"Adventure,Fantasy,Romance",5.7,1591.0
32287,tt0032873,One Night in the Tropics,One Night in the Tropics,0,1940,1940,82,"Comedy,Musical,Romance",6.3,1778.0
32295,tt0032881,Our Town,Our Town,0,1940,1940,90,"Drama,Family,Romance",6.5,2747.0
32317,tt0032904,The Philadelphia Story,The Philadelphia Story,0,1940,1940,112,"Comedy,Romance",7.9,70932.0
32323,tt0032910,Pinocchio,Pinocchio,0,1940,1940,88,"Adventure,Animation,Comedy",7.5,151334.0
32356,tt0032943,Pride and Prejudice,Pride and Prejudice,0,1940,1940,118,"Drama,Romance",7.4,8683.0
32359,tt0032946,Primrose Path,Primrose Path,0,1940,1940,93,"Drama,Music,Mystery",6.8,1665.0
32388,tt0032976,Rebecca,Rebecca,0,1940,1940,130,"Drama,Film-Noir,Mystery",8.1,139752.0
32393,tt0032981,Remember the Night,Remember the Night,0,1940,1940,94,"Comedy,Drama,Romance",7.6,6344.0
32395,tt0032983,The Return of Frank James,The Return of Frank James,0,1940,1940,92,"Drama,Western",6.6,3481.0
32405,tt0032993,Road to Singapore,Road to Singapore,0,1940,1940,85,"Comedy,Musical,Romance",6.6,3882.0
32432,tt0033021,Santa Fe Trail,Santa Fe Trail,0,1940,1940,110,"War,Western",6.2,3970.0
32433,tt0033022,Saps at Sea,Saps at Sea,0,1940,1940,56,Comedy,7.1,2947.0
32439,tt0033028,The Sea Hawk,The Sea Hawk,0,1940,1940,127,"Action,Adventure,History",7.6,10233.0
32440,tt0033029,Second Chorus,Second Chorus,0,1940,1940,84,"Comedy,Musical,Romance",5.7,1646.0
32449,tt0033038,Seven Sinners,Seven Sinners,0,1940,1940,87,"Comedy,Drama,Romance",6.6,1545.0
32456,tt0033045,The Shop Around the Corner,The Shop Around the Corner,0,1940,1940,99,"Comedy,Drama,Romance",8.0,35128.0
32516,tt0033105,Strange Cargo,Strange Cargo,0,1940,1940,113,"Adventure,Drama,Romance",6.9,2855.0
32518,tt0033107,Stranger on the Third Floor,Stranger on the Third Floor,0,1940,1940,64,"Crime,Drama,Film-Noir",6.8,4384.0
32521,tt0033110,Strike Up the Band,Strike Up the Band,0,1940,1940,120,"Comedy,Musical,Romance",6.8,1852.0
32528,tt0033117,Susan and God,Susan and God,0,1940,1940,117,"Comedy,Drama",5.9,1384.0
32560,tt0033149,They Drive by Night,They Drive by Night,0,1940,1940,95,"Crime,Drama,Film-Noir",7.2,8293.0
32563,tt0033152,The Thief of Bagdad,The Thief of Bagdad,0,1940,1940,106,"Adventure,Family,Fantasy",7.4,13740.0
32585,tt0033174,Too Many Husbands,Too Many Husbands,0,1940,1940,81,"Comedy,Romance",6.4,1574.0
32586,tt0033175,Torrid Zone,Torrid Zone,0,1940,1940,88,"Action,Adventure,Comedy",6.7,1431.0
32636,tt0033226,Virginia City,Virginia City,0,1940,1940,121,"Drama,Western",6.8,2792.0
32647,tt0033238,Waterloo Bridge,Waterloo Bridge,0,1940,1940,108,"Drama,Romance,War",7.7,10424.0
32662,tt0033253,The Westerner,The Westerner,0,1940,1940,100,"Drama,Western",7.3,6372.0
32691,tt0033283,You'll Find Out,You'll Find Out,0,1940,1940,97,"Comedy,Crime,Horror",6.1,1346.0
32697,tt0033289,Young Tom Edison,Young Tom Edison,0,1940,1940,86,"Biography,Drama,Family",6.8,1197.0
32720,tt0033314,Adam Had Four Sons,Adam Had Four Sons,0,1941,1941,81,Drama,6.6,1115.0
32723,tt0033317,Adventures of Captain Marvel,Adventures of Captain Marvel,0,1941,1941,216,"Action,Adventure,Family",7.2,1399.0
32779,tt0033373,Ball of Fire,Ball of Fire,0,1941,1941,111,"Comedy,Romance",7.7,13238.0
32794,tt0033388,The Big Store,The Big Store,0,1941,1941,83,"Comedy,Family,Musical",6.5,5266.0
32795,tt0033389,Billy the Kid,Billy the Kid,0,1941,1941,94,"Biography,Drama,History",5.6,1025.0
